鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
南港區,土地,玉成段三小段717-5地號,16.71,都市：其他:第壹種商業區(依都市計畫說明書圖規定辦理，始得作第壹種商業區使用)(原屬第參之壹種住宅區)。,,,1101117,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12635000,756134,,0.0,0,,RPVPMLSJKIGGFDA18DA,0.0,0.0,0.0,無,
南港區,土地,玉成段三小段717-5地號,48.78,都市：其他:第壹種商業區(依都市計畫說明書圖規定辦理，始得作第壹種商業區使用)(原屬第參之壹種住宅區)。,,,1101117,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,36892500,756304,,0.0,0,,RPWPMLSJKIGGFDA28DA,0.0,0.0,0.0,無,
信義區,房地(土地+建物)+車位,臺北市信義區中坡南路２０１巷１８號二樓,26.57,都市：其他:第三種住宅區。,,,1101106,土地1建物1車位2,二層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1100423,258.65,3,2,2,有,有,50800000,237195,坡道平面,65.56,5000000,,RPWOMLNKKIGGFDA77DA,105.74,10.8,11.15,有,
信義區,房地(土地+建物)+車位,臺北市信義區中坡南路２０１巷１８之１號二樓,26.26,都市：其他:第三種住宅區。,,,1101108,土地1建物1車位1,二層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1100423,226.11,3,2,2,有,有,49400000,242073,坡道平面,32.78,2600000,,RPXOMLNKKIGGFDA87DA,105.62,10.85,11.19,有,
信義區,房地(土地+建物),臺北市信義區永吉路１２７巷１１弄６號二樓之２,12.54,都市：其他:第三種住宅區。,,,1101030,土地1建物1車位0,二層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1061130,56.72,1,0,1,有,有,13210000,232898,,0.0,0,,RPQOMLKKKIGGFDA86DA,23.22,2.13,4.25,有,
信義區,房地(土地+建物),臺北市信義區永吉路１２７巷１１弄６號三樓之１,12.76,住,,,1101103,土地1建物1車位0,三層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1061130,57.65,1,0,1,有,有,13900000,241110,,0.0,0,,RPROMLKKKIGGFDA96DA,27.59,2.52,0.0,有,
松山區,房地(土地+建物),臺北市松山區三民路１０巷６號四樓,32.12,都市：其他:住宅用地(民生社區特定專用區)。,,,1101101,土地1建物1車位0,四層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0630830,91.96,3,2,2,有,無,15900000,172901,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTNMLKKKIGGFDA07DA,91.96,0.0,0.0,無,
南港區,房地(土地+建物),臺北市南港區成福路２０４之１號,8.65,都市：其他:第三種住宅區。,,,1101107,土地1建物1車位0,一層,八層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0950301,33.95,1,1,1,有,有,11580000,341090,,0.0,0,夾層；其他增建；,RPWOMLPLJIGGFDA97DA,21.36,3.31,0.0,有,
信義區,房地(土地+建物)+車位,臺北市信義區虎林街１２０巷１２０號二樓之３,17.48,都市：其他:第三種住宅區。,,,1101120,土地1建物1車位1,二層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0950404,92.08,2,2,1,有,有,21250000,249307,塔式車位,12.66,1450000,,RPWOMLQJKIGGFDA97DA,52.89,1.1,3.44,有,
信義區,房地(土地+建物),臺北市信義區中坡南路９６號二樓,22.43,都市：其他:第三種住宅區。,,,1101109,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0780505,139.75,4,2,2,有,無,28200000,201789,,0.0,0,陽台外推；其他增建；,RPTPMLQJKIGGFDA77DA,111.78,0.35,11.13,有,
